
tcpserver	 devID：7	 write:734	 12/23/2021, 2:19:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:19:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:20:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:20:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:20:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:21:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:21:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:21:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:22:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:22:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:22:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:23:16 PM 
